VideoID,Comments,Labels
Y-ZaFDWyZ38,"... In 1956 they invaded Hungary - in 1968 they invaded Czechoslovakia ..... Ukraine says ""NOT THIS TIME"" .... sadly, a whole lot of people don't have a handle on history. Before America's entry into WWII, Churchill came asking for assistance and we INITIALLY dragged our feet.",FoxNews
Y-ZaFDWyZ38,Fox loves to criticize the US when dear leader is not in control.,FoxNews
Y-ZaFDWyZ38,"Go there to provoke and pollute!
Romanian Navy and US military exercises to be held in Danube delta and Black Sea",FoxNews
Y-ZaFDWyZ38,Real Axis of Evil = US & UK,FoxNews
Y-ZaFDWyZ38,What a load of bull!!,FoxNews
Y-ZaFDWyZ38,how the narrative changed after Tucker left Fox!! lol 1984!!!,FoxNews
Y-ZaFDWyZ38,"Sounds like another Warhawk trying to funnel money through Ukraine. God, Fox News and CNN are aligned on their efforts to gain support from Americans on this war.",FoxNews
Y-ZaFDWyZ38,"Boy, do we need Trump back",FoxNews
Y-ZaFDWyZ38,"Colonel your off your head, PRESIDENT TRUMP IS THE ONLY CHOICE, THERE WOULD OF BEEN NO WAR IN UKRAINE HAD TRUMP STILL BEEN PRESIDENT FULL STOP, FOX NEWS TRAITORS",FoxNews
Y-ZaFDWyZ38,Why do Fox producers search for low level military experts that agree with their views? They are running the product into the ground. No adults in the board room?,FoxNews
Y-ZaFDWyZ38,"Come on, where are the Nukes.  Let's go boys.",FoxNews
Y-ZaFDWyZ38,😂🎉 good,FoxNews
Y-ZaFDWyZ38,"The only thing you need to know about a guy who retired as a Lt. Colonel is that he wasn't even good enough to get promoted to a full Colonel. I'm appalled at how little Americans know or care about Russia and China. China is on the edge of economic collapse with youth unemployment at 45% and what remains of their economy is totally dependent on trade with the West. They aren't going to be helping Russia in any other than the sneaky minor ways they usually operate. Russia is a rival and only occasionally a friend of convenience. Russia is turning to North Korea for help and not China. Oh, and the Opium War was with Britain and not America. This is the only time I've ever hoped the Dems win the election because the Republicans have their heads firmly planted up their butts about Ukraine.",FoxNews
Y-ZaFDWyZ38,I am lost as to why your commentator considers Trump is an answer as was it not Trump who gave the nod to Putin to go ahead with this war? Trump who envied dictators like Putin and Chi and Trump who Putin ridiculed behind his back for his infantile use of language?,FoxNews
Y-ZaFDWyZ38,"May Russia completely disarm Ukraine's offensive capabilities no matter what it takes, they need to demonstrate to the US and NATO they won't put up with their pre-planned proxy wars and ensure the US loses yet another war...!!!",FoxNews
Y-ZaFDWyZ38,This guy and his public seems to be living in Cuckoo’s land! 😂 Most of what he said seems to be just bs! 😂😂,FoxNews
Y-ZaFDWyZ38,"Disgusting 


God did not make garbage",FoxNews
Y-ZaFDWyZ38,China owns bidens socialist party so of course they dont want Trump .,FoxNews
Y-ZaFDWyZ38,Ukraine is losing. Cocaine Fueled Zelenksy fired his Defense Minister for saying they can't win this war. The truth is hard for a dictator.,FoxNews
